Identificador,Sexo,Edad,Salario,Compra
15624510,Hombre,19,19000,0
15810944,Hombre,35,20000,0
15668575,Mujer,26,43000,0
15603246,Mujer,27,57000,0
15804002,Hombre,19,76000,0
15728773,Hombre,27,58000,0
15598044,Mujer,27,84000,0
15694829,Mujer,32,150000,1
15600575,Hombre,25,33000,0
15727311,Mujer,35,65000,0
15570769,Mujer,26,80000,0
15606274,Mujer,26,52000,0
15746139,Hombre,20,86000,0
15704987,Hombre,32,18000,0
15628972,Hombre,18,82000,0
15697686,Hombre,29,80000,0
15733883,Hombre,47,25000,1
15617482,Hombre,45,26000,1
15704583,Hombre,46,28000,1
15621083,Mujer,48,29000,1
15649487,Hombre,45,22000,1
15736760,Mujer,47,49000,1
15714658,Hombre,48,41000,1
15599081,Mujer,45,22000,1
15705113,Hombre,46,23000,1
15631159,Hombre,47,20000,1
15792818,Hombre,49,28000,1
15633531,Mujer,47,30000,1
15744529,Hombre,29,43000,0
15669656,Hombre,31,18000,0
15581198,Hombre,31,74000,0
15729054,Mujer,27,137000,1
15573452,Mujer,21,16000,0
15776733,Mujer,28,44000,0
15724858,Hombre,27,90000,0
15713144,Hombre,35,27000,0
15690188,Mujer,33,28000,0
15689425,Hombre,30,49000,0
15671766,Mujer,26,72000,0
15782806,Mujer,27,31000,0
15764419,Mujer,27,17000,0
15591915,Mujer,33,51000,0
15772798,Hombre,35,108000,0
15792008,Hombre,30,15000,0
15715541,Mujer,28,84000,0
15639277,Hombre,23,20000,0
15798850,Hombre,25,79000,0
15776348,Mujer,27,54000,0
15727696,Hombre,30,135000,1
15793813,Mujer,31,89000,0
15694395,Mujer,24,32000,0
15764195,Mujer,18,44000,0
15744919,Mujer,29,83000,0
15671655,Mujer,35,23000,0
15654901,Mujer,27,58000,0
15649136,Mujer,24,55000,0
15775562,Mujer,23,48000,0
15807481,Hombre,28,79000,0
15642885,Hombre,22,18000,0
15789109,Mujer,32,117000,0
15814004,Hombre,27,20000,0
15673619,Hombre,25,87000,0
15595135,Mujer,23,66000,0
15583681,Hombre,32,120000,1
15605000,Mujer,59,83000,0
15718071,Hombre,24,58000,0
15679760,Hombre,24,19000,0
15654574,Mujer,23,82000,0
15577178,Mujer,22,63000,0
15595324,Mujer,31,68000,0
15756932,Hombre,25,80000,0
15726358,Mujer,24,27000,0
15595228,Mujer,20,23000,0
15782530,Mujer,33,113000,0
15592877,Hombre,32,18000,0
15651983,Hombre,34,112000,1
15746737,Hombre,18,52000,0
15774179,Mujer,22,27000,0
15667265,Mujer,28,87000,0
15655123,Mujer,26,17000,0
15595917,Hombre,30,80000,0
15668385,Hombre,39,42000,0
15709476,Hombre,20,49000,0
15711218,Hombre,35,88000,0
15798659,Mujer,30,62000,0
15663939,Mujer,31,118000,1
15694946,Hombre,24,55000,0
15631912,Mujer,28,85000,0
15768816,Hombre,26,81000,0
15682268,Hombre,35,50000,0
15684801,Hombre,22,81000,0
15636428,Mujer,30,116000,0
15809823,Hombre,26,15000,0
15699284,Mujer,29,28000,0
15786993,Mujer,29,83000,0
15709441,Mujer,35,44000,0
15710257,Mujer,35,25000,0
15582492,Hombre,28,123000,1
15575694,Hombre,35,73000,0
15756820,Mujer,28,37000,0
15766289,Hombre,27,88000,0
15593014,Hombre,28,59000,0
15584545,Mujer,32,86000,0
15675949,Mujer,33,149000,1
15672091,Mujer,19,21000,0
15801658,Hombre,21,72000,0
15706185,Mujer,26,35000,0
15789863,Hombre,27,89000,0
15720943,Hombre,26,86000,0
15697997,Mujer,38,80000,0
15665416,Mujer,39,71000,0
15660200,Mujer,37,71000,0
15619653,Hombre,38,61000,0
15773447,Hombre,37,55000,0
15739160,Hombre,42,80000,0
15689237,Hombre,40,57000,0
15679297,Hombre,35,75000,0
15591433,Hombre,36,52000,0
15642725,Hombre,40,59000,0
15701962,Hombre,41,59000,0
15811613,Mujer,36,75000,0
15741049,Hombre,37,72000,0
15724423,Mujer,40,75000,0
15574305,Hombre,35,53000,0
15678168,Mujer,41,51000,0
15697020,Mujer,39,61000,0
15610801,Hombre,42,65000,0
15745232,Hombre,26,32000,0
15722758,Hombre,30,17000,0
15792102,Mujer,26,84000,0
15675185,Hombre,31,58000,0
15801247,Hombre,33,31000,0
15725660,Hombre,30,87000,0
15638963,Mujer,21,68000,0
15800061,Mujer,28,55000,0
15578006,Hombre,23,63000,0
15668504,Mujer,20,82000,0
15687491,Hombre,30,107000,1
15610403,Mujer,28,59000,0
15741094,Hombre,19,25000,0
15807909,Hombre,19,85000,0
15666141,Mujer,18,68000,0
15617134,Hombre,35,59000,0
15783029,Hombre,30,89000,0
15622833,Mujer,34,25000,0
15746422,Mujer,24,89000,0
15750839,Mujer,27,96000,1
15749130,Mujer,41,30000,0
15779862,Hombre,29,61000,0
15767871,Hombre,20,74000,0
15679651,Mujer,26,15000,0
15576219,Hombre,41,45000,0
15699247,Hombre,31,76000,0
15619087,Mujer,36,50000,0
15605327,Hombre,40,47000,0
15610140,Mujer,31,15000,0
15791174,Hombre,46,59000,0
15602373,Hombre,29,75000,0
15762605,Hombre,26,30000,0
15598840,Mujer,32,135000,1
15744279,Hombre,32,100000,1
15670619,Hombre,25,90000,0
15599533,Mujer,37,33000,0
15757837,Hombre,35,38000,0
15697574,Mujer,33,69000,0
15578738,Mujer,18,86000,0
15762228,Mujer,22,55000,0
15614827,Mujer,35,71000,0
15789815,Hombre,29,148000,1
15579781,Mujer,29,47000,0
15587013,Hombre,21,88000,0
15570932,Hombre,34,115000,0
15794661,Mujer,26,118000,0
15581654,Mujer,34,43000,0
15644296,Mujer,34,72000,0
15614420,Mujer,23,28000,0
15609653,Mujer,35,47000,0
15594577,Hombre,25,22000,0
15584114,Hombre,24,23000,0
15673367,Mujer,31,34000,0
15685576,Hombre,26,16000,0
15774727,Mujer,31,71000,0
15694288,Mujer,32,117000,1
15603319,Hombre,33,43000,0
15759066,Mujer,33,60000,0
15814816,Hombre,31,66000,0
15724402,Mujer,20,82000,0
15571059,Mujer,33,41000,0
15674206,Hombre,35,72000,0
15715160,Hombre,28,32000,0
15730448,Hombre,24,84000,0
15662067,Mujer,19,26000,0
15779581,Hombre,29,43000,0
15662901,Hombre,19,70000,0
15689751,Hombre,28,89000,0
15667742,Hombre,34,43000,0
15738448,Mujer,30,79000,0
15680243,Mujer,20,36000,0
15745083,Hombre,26,80000,0
15708228,Hombre,35,22000,0
15628523,Hombre,35,39000,0
15708196,Hombre,49,74000,0
15735549,Mujer,39,134000,1
15809347,Mujer,41,71000,0
15660866,Mujer,58,101000,1
15766609,Mujer,47,47000,0
15654230,Mujer,55,130000,1
15794566,Mujer,52,114000,0
15800890,Mujer,40,142000,1
15697424,Mujer,46,22000,0
15724536,Mujer,48,96000,1
15735878,Hombre,52,150000,1
15707596,Mujer,59,42000,0
15657163,Hombre,35,58000,0
15622478,Hombre,47,43000,0
15779529,Mujer,60,108000,1
15636023,Hombre,49,65000,0
15582066,Hombre,40,78000,0
15666675,Mujer,46,96000,0
15732987,Hombre,59,143000,1
15789432,Mujer,41,80000,0
15663161,Hombre,35,91000,1
15694879,Hombre,37,144000,1
15593715,Hombre,60,102000,1
15575002,Mujer,35,60000,0
15622171,Hombre,37,53000,0
15795224,Mujer,36,126000,1
15685346,Hombre,56,133000,1
15691808,Mujer,40,72000,0
15721007,Mujer,42,80000,1
15794253,Mujer,35,147000,1
15694453,Hombre,39,42000,0
15813113,Hombre,40,107000,1
15614187,Hombre,49,86000,1
15619407,Mujer,38,112000,0
15646227,Hombre,46,79000,1
15660541,Hombre,40,57000,0
15753874,Mujer,37,80000,0
15617877,Mujer,46,82000,0
15772073,Mujer,53,143000,1
15701537,Hombre,42,149000,1
15736228,Hombre,38,59000,0
15780572,Mujer,50,88000,1
15769596,Mujer,56,104000,1
15586996,Mujer,41,72000,0
15722061,Mujer,51,146000,1
15638003,Mujer,35,50000,0
15775590,Mujer,57,122000,1
15730688,Hombre,41,52000,0
15753102,Mujer,35,97000,1
15810075,Mujer,44,39000,0
15723373,Hombre,37,52000,0
15795298,Mujer,48,134000,1
15584320,Mujer,37,146000,1
15724161,Mujer,50,44000,0
15750056,Mujer,52,90000,1
15609637,Mujer,41,72000,0
15794493,Hombre,40,57000,0
15569641,Mujer,58,95000,1
15815236,Mujer,45,131000,1
15811177,Mujer,35,77000,0
15680587,Hombre,36,144000,1
15672821,Mujer,55,125000,1
15767681,Mujer,35,72000,0
15600379,Hombre,48,90000,1
15801336,Mujer,42,108000,1
15721592,Hombre,40,75000,0
15581282,Hombre,37,74000,0
15746203,Mujer,47,144000,1
15583137,Hombre,40,61000,0
15680752,Mujer,43,133000,0
15688172,Mujer,59,76000,1
15791373,Hombre,60,42000,1
15589449,Hombre,39,106000,1
15692819,Mujer,57,26000,1
15727467,Hombre,57,74000,1
15734312,Hombre,38,71000,0
15764604,Hombre,49,88000,1
15613014,Mujer,52,38000,1
15759684,Mujer,50,36000,1
15609669,Mujer,59,88000,1
15685536,Hombre,35,61000,0
15750447,Hombre,37,70000,1
15663249,Mujer,52,21000,1
15638646,Hombre,48,141000,0
15734161,Mujer,37,93000,1
15631070,Mujer,37,62000,0
15761950,Mujer,48,138000,1
15649668,Hombre,41,79000,0
15713912,Mujer,37,78000,1
15586757,Hombre,39,134000,1
15596522,Hombre,49,89000,1
15625395,Hombre,55,39000,1
15760570,Hombre,37,77000,0
15566689,Mujer,35,57000,0
15725794,Mujer,36,63000,0
15673539,Hombre,42,73000,1
15705298,Mujer,43,112000,1
15675791,Hombre,45,79000,0
15747043,Hombre,46,117000,1
15736397,Mujer,58,38000,1
15678201,Hombre,48,74000,1
15720745,Mujer,37,137000,1
15637593,Hombre,37,79000,1
15598070,Mujer,40,60000,0
15787550,Hombre,42,54000,0
15603942,Mujer,51,134000,0
15733973,Mujer,47,113000,1
15596761,Hombre,36,125000,1
15652400,Mujer,38,50000,0
15717893,Mujer,42,70000,0
15622585,Hombre,39,96000,1
15733964,Mujer,38,50000,0
15753861,Mujer,49,141000,1
15747097,Mujer,39,79000,0
15594762,Mujer,39,75000,1
15667417,Mujer,54,104000,1
15684861,Hombre,35,55000,0
15742204,Hombre,45,32000,1
15623502,Hombre,36,60000,0
15774872,Mujer,52,138000,1
15611191,Mujer,53,82000,1
15674331,Hombre,41,52000,0
15619465,Mujer,48,30000,1
15575247,Mujer,48,131000,1
15695679,Mujer,41,60000,0
15713463,Hombre,41,72000,0
15785170,Mujer,42,75000,0
15796351,Hombre,36,118000,1
15639576,Mujer,47,107000,1
15693264,Hombre,38,51000,0
15589715,Mujer,48,119000,1
15769902,Hombre,42,65000,0
15587177,Hombre,40,65000,0
15814553,Hombre,57,60000,1
15601550,Mujer,36,54000,0
15664907,Hombre,58,144000,1
15612465,Hombre,35,79000,0
15810800,Mujer,38,55000,0
15665760,Hombre,39,122000,1
15588080,Mujer,53,104000,1
15776844,Hombre,35,75000,0
15717560,Mujer,38,65000,0
15629739,Mujer,47,51000,1
15729908,Hombre,47,105000,1
15716781,Mujer,41,63000,0
15646936,Hombre,53,72000,1
15768151,Mujer,54,108000,1
15579212,Hombre,39,77000,0
15721835,Hombre,38,61000,0
15800515,Mujer,38,113000,1
15591279,Hombre,37,75000,0
15587419,Mujer,42,90000,1
15750335,Mujer,37,57000,0
15699619,Hombre,36,99000,1
15606472,Hombre,60,34000,1
15778368,Hombre,54,70000,1
15671387,Mujer,41,72000,0
15573926,Hombre,40,71000,1
15709183,Hombre,42,54000,0
15577514,Hombre,43,129000,1
15778830,Mujer,53,34000,1
15768072,Mujer,47,50000,1
15768293,Mujer,42,79000,0
15654456,Hombre,42,104000,1
15807525,Mujer,59,29000,1
15574372,Mujer,58,47000,1
15671249,Hombre,46,88000,1
15779744,Hombre,38,71000,0
15624755,Mujer,54,26000,1
15611430,Mujer,60,46000,1
15774744,Hombre,60,83000,1
15629885,Mujer,39,73000,0
15708791,Hombre,59,130000,1
15793890,Mujer,37,80000,0
15646091,Mujer,46,32000,1
15596984,Mujer,46,74000,0
15800215,Mujer,42,53000,0
15577806,Hombre,41,87000,1
15749381,Mujer,58,23000,1
15683758,Hombre,42,64000,0
15670615,Hombre,48,33000,1
15715622,Mujer,44,139000,1
15707634,Hombre,49,28000,1
15806901,Mujer,57,33000,1
15775335,Hombre,56,60000,1
15724150,Mujer,49,39000,1
15627220,Hombre,39,71000,0
15672330,Hombre,47,34000,1
15668521,Mujer,48,35000,1
15807837,Hombre,48,33000,1
15592570,Hombre,47,23000,1
15748589,Mujer,45,45000,1
15635893,Hombre,60,42000,1
15757632,Mujer,39,59000,0
15691863,Mujer,46,41000,1
15706071,Hombre,51,23000,1
15654296,Mujer,50,20000,1
15755018,Hombre,36,33000,0
15594041,Mujer,49,36000,1
